episode_id,turn_count,total_assumptions,accommodated,dark_matter,conversion_rate,mean_lag,num_lags
All_In,3,2,2,0,100.0,0.0,0
All_Jargon_Aside__The_Evolution_of_Advertising,45,77,57,20,74.03,0.0,0
All_Revved_Up_-_May_2__2020__Hour_1,20,14,9,5,64.29,0.0,0
All_Things_Kings_-_Episode_1,44,64,45,19,70.31,0.0,0
All_Together_Now__Laid_Off_and_Looking_for_Work_in_a_Pandemic,29,53,42,11,79.25,0.0,0
All_in_the_Family__How_Red_Door_Cafe_Is_Thriving_During_COVID-19,57,131,94,37,71.76,0.0,0
All_the_Real_Estate_Buzz_with_Special_Guest__eXp_Realty_Mega_Agent__Alex_Tooke,25,44,39,5,88.64,0.0,0
All_the_Real_Estate_Buzz_with_Special_Guest__eXp_Realty_Top_Agent__Kenny_Truong,55,119,97,22,81.51,0.0,0
Allow_Me_to_Reintroduce_Myself,17,14,8,6,57.14,0.0,0
Allow_Me_to_Reintroduce_Myself_2,17,23,20,3,86.96,0.0,0
Allow_yourself_to_enjoy_the_journey_dont_become_your_own_horrible_boss_with_Persia_Lawson,31,104,95,9,91.35,0.0,0
Ally_Mellor__founder_of_Locako_talks_Business___Food_Brands,70,106,64,42,60.38,0.0,0
Alma_23-29_2,3,2,2,0,100.0,0.0,0
Alma_8-16_-__How_long_shall_we_suffer,21,56,47,9,83.93,0.0,0
Almighty__Sovereign__Gracious_Lord,3,1,0,1,0.0,0.0,0
Alternate_Perspectives,7,6,5,1,83.33,0.0,0
Alternatives_to_the_60_40_Stock_Portfolio,28,77,59,18,76.62,0.0,0
Alumni_Insights__Getting_a_Job_as_an_International_Student_with_alumnus_Tony_Gollopeni__G_19,17,33,25,8,75.76,0.0,0
Alumni_Pod_05__Andres_Chavira,32,65,51,14,78.46,0.0,0
Always_Be_Prepared,2,1,1,0,100.0,0.0,0
Aly_Orady_-_Founder___CEO__Tonal,49,132,104,28,78.79,0.0,0
Am_I_Blessed___Ben_Fagerland,3,1,1,0,100.0,0.0,0
Am_I_In_Love_with_Jesus___Pastor_Christian_Davis,4,11,11,0,100.0,0.0,0
Am_I_Ready_to_Buy_a_House,35,88,66,22,75.0,0.0,0
Am_I_doing_it_wrong_if_creativity_drains_me,33,41,39,2,95.12,0.0,0
Amanda_Berman_-_Progressive___Zionist,9,17,14,3,82.35,0.0,0
Amazing_Leader_Series__Bob_Chapman,41,122,118,4,96.72,0.0,0
Amazing_Leader_Series__Jason_Lippert,44,151,139,12,92.05,0.0,0
Amazon_FBA_for_beginners_feat._Caleb_Pribanic,63,92,64,28,69.57,0.0,0
Amazon_Seller_Feedback_Vs_Product_Reviews_in_2020,19,61,57,4,93.44,0.0,0
Amazon_Sellers_Language_Translation_Made_Simple,35,71,58,13,81.69,0.0,0
Amazon__Past__Present_and_Future,25,54,46,8,85.19,0.0,0
Amazon_using_multiculturalism_and_diversity_to_stop_UNIONS_from_forming_documents_revealed,4,1,1,0,100.0,0.0,0
Amazons_Ronaldo_Mouchawar_on_charting_growth_in_a_crisis,25,51,41,10,80.39,0.0,0
Amber_Flynn_Jared_from_The_Jared_Group_With_The_Realty_Firm_Talks_About_Selling_A_Home_During_The_Pandemic,7,6,6,0,100.0,0.0,0
Ambiguous_Loss,29,47,42,5,89.36,0.0,0
Amen___Genesis_15_6,9,11,10,1,90.91,0.0,0
Ameren_Illinois_Chairman_Richard_Mark,26,55,41,14,74.55,0.0,0
America_Burning_2020,3,2,2,0,100.0,0.0,0
America_Burning_2020_2,3,2,2,0,100.0,0.0,0
America_is_No_Longer_Free_05_21_20_Vol._8__95,10,19,16,3,84.21,0.0,0
America_is_No_Longer_Free_05_21_20_Vol._8__95_2,10,8,6,2,75.0,0.0,0
America_s_oil_market__never_bet_against_a_refinery_engineer,15,30,23,7,76.67,0.0,0
America_s_oil_market__the_pathology_of_debt-fueled_growth,11,16,10,6,62.5,0.0,0
America_the_Beautiful,5,3,3,0,100.0,0.0,0
American_Society_of_Journalists_and_Authors_v._Becerra,13,22,21,1,95.45,0.0,0
American_Society_of_Journalists_and_Authors_v._Becerra_2,13,20,18,2,90.0,0.0,0
Amid_the_Coronavirus__Doing_Good__Quietly,6,3,3,0,100.0,0.0,0
Amid_the_Coronavirus__Doing_Good__Quietly_2,6,4,3,1,75.0,0.0,0
Among_Women_Espresso_Shot__43__Blessed_are_the_peacemakers,3,1,1,0,100.0,0.0,0
Amos__Aslan__and_Animals,27,52,45,7,86.54,0.0,0
Amy_Lampman,139,174,92,82,52.87,0.0,0
Amy_Langer_on_Building_Authentic_Company_Culture_and_the_Innovation_of_Gig_Work,61,170,134,36,78.82,0.0,0
An_Abomination__Bishop_John_Stowe_of_Lexington,17,33,29,4,87.88,0.0,0
An_Abomination__Bishop_John_Stowe_of_Lexington_2,17,32,29,3,90.62,0.0,0
An_Afternoon_With_Dan_Portik__Best_Selling_Author,31,55,41,14,74.55,0.0,0
An_Anxious_Accountant_s_Journey_to_the_Top__Special_Content,33,68,53,15,77.94,0.0,0
An_Anxious_Accountant_s_Journey_to_the_Top__Special_Content_2,33,65,50,15,76.92,0.0,0
An_Audio_Postcard_from_Ron_Carucci,3,2,1,1,50.0,0.0,0
An_Enterprise_Look_at_AI_in_Logistics_-_with_Tim_Gagnon_of_CH_Robinson,13,43,38,5,88.37,0.0,0
An_Exercise_In_Silence,3,3,3,0,100.0,0.0,0
An_FX_exchange_veteran_explains_growing_a_crypto_exchange_and_weathering_the_Covid-19_storm,21,86,63,23,73.26,0.0,0
An_Inside_the_Hashes_Exclusive_Interview_with_Texas_Tech_DB_Damarcus_Fields,34,60,36,24,60.0,0.0,0
An_International_ATM_Skimming_Scheme,24,58,50,8,86.21,0.0,0
An_Interview_with_Chris_Laythe__Licensed_Clinical_Social_Worker__and_how_she_supports_Adult_Males_who_are_Returning_Citizens,17,22,22,0,100.0,0.0,0
An_Interview_with_Daniel_Whitenack_-_how_can_a_data_scientist_help_Bible_translation,25,60,47,13,78.33,0.0,0
An_Interview_with_Darren_Potter_2,81,200,118,82,59.0,0.0,0
An_Interview_with_David_Brown,36,138,122,16,88.41,0.0,0
An_Interview_with_Dr_Ali_Hawks,25,54,39,15,72.22,0.0,0
An_Interview_with_Juan_Saenz,59,128,89,39,69.53,0.0,0
An_Interview_with_Mike_Miller__Deli,47,48,22,26,45.83,0.0,0
An_Interview_with_Mindy_Mayman,47,122,96,26,78.69,0.0,0
An_Interview_with_Pastor_Tom_Hubbard,41,82,69,13,84.15,0.0,0
An_Introduction_to_Christine_Means_Business_-_The_Podcast,3,5,4,1,80.0,0.0,0
An_Introvert_s_World,3,3,1,2,33.33,0.0,0
An_Intuition_In_Us,3,1,1,0,100.0,0.0,0
An_Overcoming_Spirit,3,3,3,0,100.0,0.0,0
An_Unfinished_Book,35,62,61,1,98.39,0.0,0
An_update_on_all_the_market_amidst_the_current_Coronavirus,45,59,41,18,69.49,0.0,0
Anatoly_Mezhov_on_Constructing_You,97,167,109,58,65.27,0.0,0
Anchored,2,3,3,0,100.0,0.0,0
Anchored___The_Anchor_Of_A_Better_Promise___Hebrews_8_1-6,3,3,3,0,100.0,0.0,0
And_Jesus_said,6,2,2,0,100.0,0.0,0
And_We_Haven_t_Missed_a_Beat_-_Cornell_Winston,25,13,7,6,53.85,0.0,0
And_he_the_mericiful_one,3,2,2,0,100.0,0.0,0
And_he_the_mericiful_one_2,3,1,1,0,100.0,0.0,0
Andrew_Alexander__CEO___Limitless_Academy_talks_mindset___motivation_for_entrepreneurs___Episode_13___Podium_Stories_w__Marti_Sanchez,33,87,72,15,82.76,0.0,0
Andrew_Brandt_6-23-20_2,22,36,28,8,77.78,0.0,0
Andrew_E._Chrostowski__Chairman_of_the_Board_and_Acting_CEO__RealWear,57,126,85,41,67.46,0.0,0
Andrew_Phillips-6_7_20-Resurrection,5,5,5,0,100.0,0.0,0
Andrew_Sheets__Does_COVID-19_Change_the_Investing_Playbook,2,1,1,0,100.0,0.0,0
Andromeda_Metals__ADN__-_Halloysite-Kaolin_Can_Make_Investors_Money,65,160,134,26,83.75,0.0,0
Andy_Hawthorne_-_The_Armor_of_God,3,2,2,0,100.0,0.0,0
Andy_Smith___Strategiq,39,101,87,14,86.14,0.0,0
Angel_Insights__Scorpio_Super_Full_Moon_and_Saturn_Retrograde,5,7,7,0,100.0,0.0,0
Angel_Messages_for_June_2020,5,9,9,0,100.0,0.0,0
Angel_Wallace_-_Zeta_Phi_Beta__Florida_A_M,42,85,60,25,70.59,0.0,0
Anglican_Unscripted_596_-_AGE_in_the_Age_of_COVID-19,52,81,55,26,67.9,0.0,0
Anglican_Unscripted_598_-_Porn__Perversion__and_Pupils,60,107,70,37,65.42,0.0,0
Anglican_Unscripted_599_-_Opening_the_Churches,56,107,52,55,48.6,0.0,0
Anita_Pagliasso-_How_PATH_is_helping_its_members_cope_with_COVID,57,94,63,31,67.02,0.0,0
Anjali_Bansal_on_Supply_Chains_in_the_Post-COVID_Era,27,86,69,17,80.23,0.0,0
Ann_Kupauff-New_Horizons,16,20,14,6,70.0,0.0,0
Ann_Winblad_Managing_Director_Hummer_Winblad_Venture_Partners_on_Covid-19_crisis_for_startups,19,29,23,6,79.31,0.0,0
Anna_Talks_Greater_Purpose_Capital-_People_over_Profit_and_True_Legacy,41,94,65,29,69.15,0.0,0
Anne_Chow_-_Keeping_People_Connected,37,70,61,9,87.14,0.0,0
Anne_Chow_-_Keeping_People_Connected_2,37,72,62,10,86.11,0.0,0
Anne_Nelson__How_Has_Coronavirus_Changed_the_Agenda_of_the_Radical_Right,25,74,62,12,83.78,0.0,0
Anne_Spackman_-_Success_Stories,33,108,88,20,81.48,0.0,0
Annihilationism,98,156,95,61,60.9,0.0,0
Annuity_Bomb,5,4,4,0,100.0,0.0,0
Anointing_For_Real___May_31__2020,7,3,2,1,66.67,0.0,0
Anonymous_Thursday,63,54,27,27,50.0,0.0,0
Anonymous_Thursday_2,43,42,20,22,47.62,0.0,0
Anonymous_is_back_2020,116,89,51,38,57.3,0.0,0
Anonymous_is_back_2020_2,116,97,60,37,61.86,0.0,0
Another_3_Marketing_Tips_for_2020._Business_Owners_Are_You_Doing_Live_Videos._Are_You_Networking,31,84,66,18,78.57,0.0,0
Answers_From_Scripture_Season_1_Episode_16_-_Knowing_the_Future_with_Certainty_-_Daniel_2_Series_Part_3_of_11__Daniel_2_4-13,21,20,14,6,70.0,0.0,0
Answers_to_Keeping_You_Out_of_Tax_Trouble,5,11,11,0,100.0,0.0,0
Antehelmintic_resistance_in_beef_cattle,35,99,96,3,96.97,0.0,0
Anthony_Carlson__Lead_Application_Developer_at_Farm_Credit_Services_of_America,42,77,49,28,63.64,0.0,0
Anthony_Sbarra,31,86,59,27,68.6,0.0,0
Antibody_tests_showing_coronavirus_was_here_long_before_we_realized,55,97,45,52,46.39,0.0,0
Antibody_tests_showing_coronavirus_was_here_long_before_we_realized_2,55,84,45,39,53.57,0.0,0
Antitrust__M_A_and_Big_Tech__Thou_Dost_Conspire_Against_Thy_Friend,29,83,61,22,73.49,0.0,0
Anvil_2__Interview_the_Blacksmith,19,70,68,2,97.14,0.0,0
Anxious_For_Nothing-Pt._1__Praying_Through_The_Problem,9,6,6,0,100.0,0.0,0
Ap_Theo_Wolmarans_-_God_Has_Promised_To_Provide_For_His_Children_-_Part_4,3,5,4,1,80.0,0.0,0
Ap_Theo_Wolmarans_-_God_Is_Merciful_-_Part_3,3,1,1,0,100.0,0.0,0
Apocalipsis_11_1-13,3,3,3,0,100.0,0.0,0
Apocalipsis_16_1-9,3,1,1,0,100.0,0.0,0
Apocalipsis_19_1-10,3,2,2,0,100.0,0.0,0
Apologetics__Making_faith_come_alive_-_Acts_17_22-31,3,2,2,0,100.0,0.0,0
Apostle_Kandy_McBayne__Daily_Morning_Messages_-_Monday__May_4th__2020,3,2,2,0,100.0,0.0,0
Apostle_Kandy_McBayne__Daily_Morning_Messages_-_Wednesday__May_20th__2020,3,3,1,2,33.33,0.0,0
Apostles_3__What_Does_An_Apostle_Do,3,4,4,0,100.0,0.0,0
Apostolic_Athens,3,1,1,0,100.0,0.0,0
Apostolic_Priorities_-_Guy_Miller,4,6,6,0,100.0,0.0,0
Appear__A_New_Way,2,2,2,0,100.0,0.0,0
Apple_Glass_Leaks,103,154,76,78,49.35,0.0,0
Apple___Work_Podcast__Does_your_business_need_a_podcast,30,75,56,19,74.67,0.0,0
Applying_to_angel_groups__raising_money_as_a_female_founder_and_ways_to_improve_your_chances_of_getting_your_application_reviewed_by_an_angel_group_-_by_Wendy_R,50,119,77,42,64.71,0.0,0
Apprehended_By_An_Evangelist__EP01,3,3,3,0,100.0,0.0,0
Apr.30_Through_the_Bible_in_the_Holy_Spirit_order,13,15,11,4,73.33,0.0,0
April_Jobs_Report_Stops_Short_Of_Great_Depression_Level_Unemployment_Numbers,7,4,4,0,100.0,0.0,0
April_Showers_and_May_Flowers,2,1,1,0,100.0,0.0,0
Architects_Help_Your_Dreams_come_True,39,34,15,19,44.12,0.0,0
Are_Eid_staycations_in_the_UAE_a_good_idea_and_Covid-19_safe,41,118,98,20,83.05,0.0,0
Are_Facebook_and_Instagram_Ads_Right_For_You,32,51,36,15,70.59,0.0,0
Are_Payments_to_the_Chap_13_Trustee_Refundable__-_Episode_217,4,2,2,0,100.0,0.0,0
Are_Press_Releases_Still_Effective_for_SEO,3,2,1,1,50.0,0.0,0
Are_We_Asking_The_Wrong_Questions,5,1,0,1,0.0,0.0,0
Are_We_Ignorant___February_2020,3,2,2,0,100.0,0.0,0
Are_We_Not_Called_To_Be_A_Light_in_This_World,21,16,16,0,100.0,0.0,0
Are_We_in_Hell,16,13,11,2,84.62,0.0,0
Are_You_An_Enabler_that_Thinks_You_re_a_Super_Hero____Daily_Devo_with_Vince___Bo,38,47,32,15,68.09,0.0,0
Are_You_Asleep_or_Alert,3,2,2,0,100.0,0.0,0
Are_You_Close,3,2,2,0,100.0,0.0,0
Are_You_Due_for_An_Upgrade,29,49,41,8,83.67,0.0,0
Are_You_In_Control,11,22,19,3,86.36,0.0,0
Are_You_Labeling_Yourself,3,1,1,0,100.0,0.0,0
Are_You_Ready_To_Run_-_Sun_AM,3,2,2,0,100.0,0.0,0
Are_You_Ready_to_Fight,2,1,1,0,100.0,0.0,0
Are_You_Truly_Disruptive_-_Episode_8_-_Creating_the_New_Normal,19,38,35,3,92.11,0.0,0
Are_You_Underestimating_Your_Words,3,2,0,2,0.0,0.0,0
Are_You_Unknowingly_Harming_The_Future_Success_Of_Your_Software_Organization,37,122,97,25,79.51,0.0,0
Are_You_Willing_To_Change_To_Reach_Your_Goal,3,2,2,0,100.0,0.0,0
Are_You_a_Leader_or_a_Manager,3,3,3,0,100.0,0.0,0
Are_light-bulbs_listening_to_you__Facebook_s_new_email_marketing__and_the__Lock-down_Whopper,31,43,29,14,67.44,0.0,0
Are_production_numbers_lagging_or_leading_the_freight_markets_recovery,22,62,55,7,88.71,0.0,0
Are_the_Fruit_of_the_Spirit_Gender_Specific,3,5,5,0,100.0,0.0,0
Are_these_domains_unstoppable__-_DNW_Podcast__292,67,173,134,39,77.46,0.0,0
Are_we_Courting_or_Nah,103,184,115,69,62.5,0.0,0
Are_we_Courting_or_Nah_2,103,177,114,63,64.41,0.0,0
Are_you_a_Victim_or_a_Victor,2,1,1,0,100.0,0.0,0
Are_you_a_saint__1_Corinthians_1__1-9,15,34,27,7,79.41,0.0,0
Are_you_creative__Why_Ive_resisted_this_term_for_so_long__assuming_it_doesnt_apply_to_me,46,95,78,17,82.11,0.0,0
Are_you_in_Traction_Mode_or_Distraction_Mode,3,2,2,0,100.0,0.0,0
Are_you_listening,7,9,9,0,100.0,0.0,0
Are_you_sitting_comfortably__Then_let_me_tell_you_a_story_connecting_with_emotions_and_feelings._Ep._227,29,77,71,6,92.21,0.0,0
Are_you_stuck_in_suffering,9,32,30,2,93.75,0.0,0
Are_you_suffering_from_Profit_FOMO__-_MDL_Episode_98,61,59,39,20,66.1,0.0,0
Are_you_taking_extreme_responsibility,3,1,1,0,100.0,0.0,0
Area_lockdowns,2,1,1,0,100.0,0.0,0
Arise_and_Return_-_Audio,3,1,1,0,100.0,0.0,0
Armenian_Genocide__Zionism__Usury___Moral_Breakdown,53,138,81,57,58.7,0.0,0
Armor_Up__Matthew_Balentine,3,1,1,0,100.0,0.0,0
Art_Handel_-_Importance_of_Quality_Video___Episode__074,3,1,1,0,100.0,0.0,0
Art_Of_Conversation_LIVE_-_Episode_6_-_Suzan_Sakarya__Sales_Director__UK_I_at_Wandera,38,99,79,20,79.8,0.0,0
Art_as_a_Form_of_Therapy_-_Jaimee_Todd,39,81,55,26,67.9,0.0,0
Art_of_Conversation_LIVE-_Episode_9_-_Colin_Whipp_-_Head_of_Account_Management_-_Access_Recruitment,99,139,80,59,57.55,0.0,0
Art_of_Conversation_LIVE_-_Episode_5_-_Darren_Westall_-_CEO__Paiger,31,53,38,15,71.7,0.0,0
Article_Preview__Whos_Afraid_of_the_Lucky_Moose__Canadas_Dangerous_Self-Defence_Innovation,3,2,2,0,100.0,0.0,0
Article_Preview__Whos_Afraid_of_the_Lucky_Moose__Canadas_Dangerous_Self-Defence_Innovation_2,3,3,3,0,100.0,0.0,0
Artist_Deals_and_Copyrights,89,158,97,61,61.39,0.0,0
Artist_Deals_and_Copyrights_2,89,167,107,60,64.07,0.0,0
Artist_Minute_-_Morihiko_Nakahara__South_Carolina_Philharmonic,11,21,18,3,85.71,0.0,0
As_For_Me___My_House_-_June_28,3,2,2,0,100.0,0.0,0
As_Long_As_Jesus_Gets_The_Glory,5,5,5,0,100.0,0.0,0
As_Rains_Begin__Crisis_Looms_over_the_Nile_Dam,39,137,126,11,91.97,0.0,0
As_Rains_Begin__Crisis_Looms_over_the_Nile_Dam_2,39,134,129,5,96.27,0.0,0
Ashley_Killeen_on_brand_storytelling_during_COVID-19_at_OzHarvest,39,147,125,22,85.03,0.0,0
AskPam__Staying_Disciplined__Overcoming_Fears__and_Scheduling_Out_Your_Most_Successful_Day_Yet,2,1,1,0,100.0,0.0,0
Ask_A_Pastor_Episode_5__Why_Should_We_Read_The_Bible,11,22,13,9,59.09,0.0,0
Ask_An_Epidemiologist_with_Dr._Recinda_Sherman,99,302,217,85,71.85,0.0,0
Ask_An_Expert_w__a_Financial_Advisor,73,93,58,35,62.37,0.0,0
Ask_Fr._Mark__37,29,44,32,12,72.73,0.0,0
Ask_JBH__9__Rodney_Sampson,110,170,117,53,68.82,0.0,0
Ask_Linda__How_do_I_build_an_audience_on_Facebook,3,3,3,0,100.0,0.0,0
Ask_Marco_-_Can_I_Refinance_a_Property_Held_in_My_LLC___PREI_238,2,4,4,0,100.0,0.0,0
Ask_Marco_-_Creating_Wealth_Using_an_IRA_vs_401_k____PREI_250,2,2,2,0,100.0,0.0,0
Ask_Marco_-_Financing_the_Down_Payment_for_a_Zero-Down_Deal___PREI_256,2,2,2,0,100.0,0.0,0
Ask_Marco_-_Possible_Covid-19_Effects_on_Cash_Flow_Investing___PREI_255,2,4,4,0,100.0,0.0,0
Ask_Marco_-_Real_Estate_Newbie__What_Properties_and_Markets_for_a_First_Time_Investor____PREI_253,2,4,4,0,100.0,0.0,0
Ask_Marco_-_Should_I_Diversify_Into_Multiple_Locations____PREI_244,2,2,1,1,50.0,0.0,0
Ask_Marco_-_Would_You_Reinvest_Your_Rental_Income_Into_the_Stock_Market____PREI_247,2,3,2,1,66.67,0.0,0
Ask_Questions_2,31,30,12,18,40.0,0.0,0
Ask_Us___Back_shopping,12,21,14,7,66.67,0.0,0
Ask_a_Pastor_Episode_6__Can_We_Disobey_the_Government,14,33,26,7,78.79,0.0,0
Ask_an_Artist_-_Studio_Space,81,214,157,57,73.36,0.0,0
Ask_an_Artist_Paperwork_and_Administration,96,144,114,30,79.17,0.0,0
Ask_an_Artist__Buying_Art_Materials,67,144,115,29,79.86,0.0,0
Ask_the_Pastor___27_-__Who_are_the_Nephilim,3,1,0,1,0.0,0.0,0
Ask_the_Pastor___28__Is_it_Impossible_to_Follow_the_Bible_Literally,3,1,1,0,100.0,0.0,0
Ask_the_Pastors_Episode_THREE,18,43,42,1,97.67,0.0,0
Aspectos_Legales_de_Inversiones,17,21,21,0,100.0,0.0,0
Assembling_a_And_Addressing_a_The_Building_Blocks_Of_ID_Verification,17,42,39,3,92.86,0.0,0
Assessing_Economic_Damage_from_Trump_s_Latest_Immigration_Ban,17,46,35,11,76.09,0.0,0
Assessing_Economic_Damage_from_Trump_s_Latest_Immigration_Ban_2,17,46,36,10,78.26,0.0,0
Asset_Management_with_EquityMultiple_s_Brian_Vail,39,74,66,8,89.19,0.0,0
Asset_Yield__the_podcast_series_of_Kinstellar_Asset_Solutions_2,52,146,105,41,71.92,0.0,0
Association_Hustle_-_Episode_236__Prepare_for_the_Virtual_Event_Sponsorship_and_Membership_Recruitment_Surge,3,2,2,0,100.0,0.0,0
Asstitude_w__Joseph_McClendon_III,18,33,26,7,78.79,0.0,0
Assumption_Today_-_06_29_2020,3,2,0,2,0.0,0.0,0
Astrology_and_2020,77,186,130,56,69.89,0.0,0
At_the_Cross_June_28__2020,7,5,5,0,100.0,0.0,0
At_what_age_do_you_want_to_retire,5,1,1,0,100.0,0.0,0
Athletes_and_their_decision_to_protest___720_WGN_Chicago___6_3_20,29,63,55,8,87.3,0.0,0
Atico_Mining__ATY__-_Copper-Gold_Producer_Playing_It_Safe._Too_Safe,55,151,130,21,86.09,0.0,0
Atlantic_City_Boardwalk,3,3,1,2,33.33,0.0,0
Atom_CTO__Meet_the_Team_-_Gatis_Vilcans,31,53,30,23,56.6,0.0,0
Attempted_murder_charges_against_a_police_officer_Kenneth_Walker_has_been_dropped,5,5,5,0,100.0,0.0,0
Attempted_murder_charges_against_a_police_officer_Kenneth_Walker_has_been_dropped_2,5,3,3,0,100.0,0.0,0
Attention_Pliss__with_Arnab_Ray__85_-_Pakistan_Cricket_and_Qayyum_Report,56,134,80,54,59.7,0.0,0
Attention_Pliss__with_Arnab_Ray__85_-_Pakistan_Cricket_and_Qayyum_Report_2,56,113,76,37,67.26,0.0,0
Attorney_Sanjay_Sabarwal_Interview,21,48,42,6,87.5,0.0,0
Attracting_technical_co-founders_early_on__raising_from_a_corporate_VC_and_how_technical_founders_influence_the_fundraising_-_by_Ahmad_Abdulkader,28,73,48,25,65.75,0.0,0
Attributes_of_God,6,6,6,0,100.0,0.0,0
Atypical__Week_1,3,3,3,0,100.0,0.0,0
Atypical__Week_2,4,1,1,0,100.0,0.0,0
Au10tix__Automated_IDV,39,100,86,14,86.0,0.0,0
Aubrey_Capital_Management_Investment_Insights_Episode_2_-_Why_is_China_Better_At_This,7,12,11,1,91.67,0.0,0
Audible_Talks-_Trust_God_and_peace_will_follow,7,8,8,0,100.0,0.0,0
Audience_of_One,2,4,4,0,100.0,0.0,0
Audio_Exclusive_-_Jon_Fitch__Transport_Yourself,50,103,56,47,54.37,0.0,0
Audio_Only__Help_-_I_Can_t_Do_This_On_My_Own,9,9,9,0,100.0,0.0,0
Audio_in_lockdown_with_Zebralution,13,38,34,4,89.47,0.0,0
Audiobooks_Are_Booming___FIRST_EDITING,47,106,72,34,67.92,0.0,0
Augmented_Intelligence_with_AI_in_Manufacturing_-_Paul_Boris,32,63,60,3,95.24,0.0,0
Augmented_Reality_Contact_Lenses,85,130,53,77,40.77,0.0,0
Augmented_Reality_For_Online_Kids__Eyewear_With_Augie,70,83,52,31,62.65,0.0,0
Austin_Tuwiner___Owner_of_Bitpremier_and_ScubaOtter___Episode__27,87,228,175,53,76.75,0.0,0
Australian_tennis_legend_Lleyton_Hewitt_calls_in_to_congratulate_Alan_Jones,7,5,5,0,100.0,0.0,0
Auth0_Extensibility_in_Identity,24,77,62,15,80.52,0.0,0
Authenticity_with_Melissa_Stuart-_Wonderful_Women_Wednesday,28,70,65,5,92.86,0.0,0
Author_and_therapist_KJ_Ramsey_on_God_s_grace_amidst_chronic_suffering__The_PCOM_Daily_Prayer_Podcast_-_5-22-20,37,112,108,4,96.43,0.0,0
Author_of_Entrepreneurial_Leadership_and_Chairman_of_JetBlue_Airways_-_Joel_Peterson,54,107,82,25,76.64,0.0,0
Author_of_Your_Story,3,1,1,0,100.0,0.0,0
Authority_Part_9_-_Audio,3,1,1,0,100.0,0.0,0
Automate___Scale_Business_Expert_-_Hawk_Mikado___Episode_009,23,26,20,6,76.92,0.0,0
Automating_ShipStation_Orders_for_Amazon_Etsy_Walmart_eBay_Shopify_with_DeArmond__46,37,96,74,22,77.08,0.0,0
Autonomous_Unity_Episode_018_-_2016__A_CAR_Load_Of_Deception____What_The_Courts_Really_Said,4,7,7,0,100.0,0.0,0
Autonomous_Unity_Episode_019_-_The_Rigged_System,2,3,3,0,100.0,0.0,0
Autonomous_vehicle_technology_in_the_trucking_industry_-__FWLive___Home,18,64,56,8,87.5,0.0,0
Autoresponder_Wars_Volume_1_-_Aweber_vs_GetResponse,23,43,34,9,79.07,0.0,0
Autoresponder_Wars_Volume_2_-_Self_Hosted_vs_3rd_Party_Mailing_Software,19,55,51,4,92.73,0.0,0
Ava_Johanna___The_Power_of_Breath__Transcending_the_Ego_and_Soul-Centered_Entrepreneurship,25,66,63,3,95.45,0.0,0
Avoid_Common_Pitfalls_in_Writing_Your_Story,3,1,1,0,100.0,0.0,0
Avoid_The_Obvious__And_Scale_Your_YouTube_Ads_To_The_Moon_with_Kevin_Milani_-_AdSkills_Pro_Podcast_Ep.6,64,94,70,24,74.47,0.0,0
Avoiding_Content_Cannibalization_in_Long_Tail_Keywords,3,5,5,0,100.0,0.0,0
Awakening_to_your_authentic_self_through_relationships_with_Athena_Allread,21,35,27,8,77.14,0.0,0
Awesome_Affiliate_Stories_-_Episode_1_with_Pankaj_Singh,18,25,18,7,72.0,0.0,0
Aya_Hesham_s_college_application_experience,35,58,43,15,74.14,0.0,0
Ayahuasca_is_not_a_one_time_affair.._its_like_a_nuclear_explosion_that_will_transform_everything,3,2,2,0,100.0,0.0,0
B2B_Demand_Generation_for_Science_Companies,43,191,166,25,86.91,0.0,0
BASKETBALL_WEEKLY_ROUNDUP_-_THE_LAST_DANCE_2,53,92,56,36,60.87,0.0,0
BBB_beauty_builder_podcast_-_the_one_about_live_videos,2,3,3,0,100.0,0.0,0
BCDC_Essential_Conversations__Dave_Gilchrist,59,212,176,36,83.02,0.0,0
BCF_191__Use_Video_to_Get_Investors__with_Brandon_Lucero,30,101,86,15,85.15,0.0,0
BCF_192__Assess_Property_Operations_to_Profit__with_Joseph_Bramante,48,143,129,14,90.21,0.0,0
BCWA_S4_E48_Bill_Fellows_is_back_talking_about_COVID__disinfectants_and_Safety_Data_Sheets,55,104,76,28,73.08,0.0,0
BEATITUDES__An_Introduction,2,3,3,0,100.0,0.0,0
BELIEVERS_ENFORCE_GODS_POWER,73,136,124,12,91.18,0.0,0
BENCHMARKS__GOALS__METRICS__AND_ROI__Everything_You_Need_to_Know_About_Measuring_Trade_Show_Results,13,11,10,1,90.91,0.0,0
BEWARE_of_an_EVIL_Report___Live_06.18.20,2,1,1,0,100.0,0.0,0
BE_Coachable_Caylee_Auge_Interview,49,166,129,37,77.71,0.0,0
BE_The_Church__Prophetically_Speaking,3,1,1,0,100.0,0.0,0
BE_The_Church__The_Most_Excellent_Way,3,2,2,0,100.0,0.0,0
BE_The_Church__The_Most_Excellent_Way_2,3,1,1,0,100.0,0.0,0
BFP__The_Cold_War_Against_Priests_Memorial__Part_2_Pilarczyk__Shepherd_or_Wolf,2,1,1,0,100.0,0.0,0
BGBS_025__Alec_Stern___Constant_Contact___I_m_Not_a_Quitter,48,136,85,51,62.5,0.0,0
