prompt_id,assumption_id,category,source_episode_id,source_turn_idx,source_assumption_idx,assumption_text,control_episode_id,control_turn_idx,control_claim_idx,claim_text,overlap_score,entailment_score,confidence,raw
political|94146|6|2|2bf3292e0169fdc0|1,political|94146|6|2|2bf3292e0169fdc0,political,94146,6,2,The speaker and listener share a common understanding of 'American troops' and 'on the ground'.,45566,23,9,The speaker believes that Democrats and the American public need to prioritize systemic political reform around climate urgency.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
political|94146|6|2|2bf3292e0169fdc0|2,political|94146|6|2|2bf3292e0169fdc0,political,94146,6,2,The speaker and listener share a common understanding of 'American troops' and 'on the ground'.,45566,34,1,The speaker has authored a legislative proposal known as the American Families Act.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
political|94146|6|2|2bf3292e0169fdc0|3,political|94146|6|2|2bf3292e0169fdc0,political,94146,6,2,The speaker and listener share a common understanding of 'American troops' and 'on the ground'.,45566,89,7,The speaker believes that reaching out broadly to American voters could reveal support for their position.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
religion|247_Is_Peter_Really_the_Foundation_of_the_Church__-_Karlo_Broussard|11|0|8e8e523fd26a42fd|0,religion|247_Is_Peter_Really_the_Foundation_of_the_Church__-_Karlo_Broussard|11|0|8e8e523fd26a42fd,religion,247_Is_Peter_Really_the_Foundation_of_the_Church__-_Karlo_Broussard,11,0,There exists a single true church of Jesus Christ that can be objectively identified.,The_Mind_Brain_Connection_in_the_Book_of_Revelation__6,0,3,"There is one true interpretation of Scripture, which is Christ.",3,3,0.6,"{
  ""entailment_score"": 3,
  ""confidence"": 0.6
}"
religion|247_Is_Peter_Really_the_Foundation_of_the_Church__-_Karlo_Broussard|11|0|8e8e523fd26a42fd|1,religion|247_Is_Peter_Really_the_Foundation_of_the_Church__-_Karlo_Broussard|11|0|8e8e523fd26a42fd,religion,247_Is_Peter_Really_the_Foundation_of_the_Church__-_Karlo_Broussard,11,0,There exists a single true church of Jesus Christ that can be objectively identified.,The_Mind_Brain_Connection_in_the_Book_of_Revelation__6,18,8,What people have always been exists beyond time and is part of their true self.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
commentary|Hasidic_Jewish_Heretics_2|5|2|976cfe04c04ff908|0,commentary|Hasidic_Jewish_Heretics_2|5|2|976cfe04c04ff908,commentary,Hasidic_Jewish_Heretics_2,5,2,There exists a shared understanding within ultra-Orthodox communities about appropriate gender roles in religious life.,Attention_Pliss__with_Arnab_Ray__85_-_Pakistan_Cricket_and_Qayyum_Report,2,1,There exists a specific Telugu comedy being referred to.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
commentary|Hasidic_Jewish_Heretics_2|5|2|976cfe04c04ff908|1,commentary|Hasidic_Jewish_Heretics_2|5|2|976cfe04c04ff908,commentary,Hasidic_Jewish_Heretics_2,5,2,There exists a shared understanding within ultra-Orthodox communities about appropriate gender roles in religious life.,Attention_Pliss__with_Arnab_Ray__85_-_Pakistan_Cricket_and_Qayyum_Report,38,7,There is nothing inherently sinister about the photograph.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
commentary|Hasidic_Jewish_Heretics_2|5|2|976cfe04c04ff908|2,commentary|Hasidic_Jewish_Heretics_2|5|2|976cfe04c04ff908,commentary,Hasidic_Jewish_Heretics_2,5,2,There exists a shared understanding within ultra-Orthodox communities about appropriate gender roles in religious life.,Attention_Pliss__with_Arnab_Ray__85_-_Pakistan_Cricket_and_Qayyum_Report,43,1,There is another person involved who also knows something about the bill.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
commentary|Hasidic_Jewish_Heretics_2|5|2|976cfe04c04ff908|3,commentary|Hasidic_Jewish_Heretics_2|5|2|976cfe04c04ff908,commentary,Hasidic_Jewish_Heretics_2,5,2,There exists a shared understanding within ultra-Orthodox communities about appropriate gender roles in religious life.,Attention_Pliss__with_Arnab_Ray__85_-_Pakistan_Cricket_and_Qayyum_Report,52,8,There was something unclear about what happened to him afterward.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|84_-_From_childhood_prodigy_to_serial_entrepreneur_-_Scott_Edgar|8|4|ebb520d750bcf54c|0,business|84_-_From_childhood_prodigy_to_serial_entrepreneur_-_Scott_Edgar|8|4|ebb520d750bcf54c,business,84_-_From_childhood_prodigy_to_serial_entrepreneur_-_Scott_Edgar,8,4,There is value in understanding how someone developed expertise so early in life.,BONUS__Mastermind_Q_A_apply_Productivity_Expert_Insights_to_Your_Life,47,1,There is a specific value being discussed.,2,1,0.85,"{
  ""entailment_score"": 1,
  ""confidence"": 0.85
}"
business|84_-_From_childhood_prodigy_to_serial_entrepreneur_-_Scott_Edgar|8|4|ebb520d750bcf54c|1,business|84_-_From_childhood_prodigy_to_serial_entrepreneur_-_Scott_Edgar|8|4|ebb520d750bcf54c,business,84_-_From_childhood_prodigy_to_serial_entrepreneur_-_Scott_Edgar,8,4,There is value in understanding how someone developed expertise so early in life.,BONUS__Mastermind_Q_A_apply_Productivity_Expert_Insights_to_Your_Life,48,1,There is a minimum threshold for the value in question.,2,3,0.7,"{
  ""entailment_score"": 3,
  ""confidence"": 0.7
}"
business|84_-_From_childhood_prodigy_to_serial_entrepreneur_-_Scott_Edgar|8|4|ebb520d750bcf54c|2,business|84_-_From_childhood_prodigy_to_serial_entrepreneur_-_Scott_Edgar|8|4|ebb520d750bcf54c,business,84_-_From_childhood_prodigy_to_serial_entrepreneur_-_Scott_Edgar,8,4,There is value in understanding how someone developed expertise so early in life.,BONUS__Mastermind_Q_A_apply_Productivity_Expert_Insights_to_Your_Life,59,4,There is someone in the group who helps the speaker plan their day.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
business|84_-_From_childhood_prodigy_to_serial_entrepreneur_-_Scott_Edgar|8|4|ebb520d750bcf54c|3,business|84_-_From_childhood_prodigy_to_serial_entrepreneur_-_Scott_Edgar|8|4|ebb520d750bcf54c,business,84_-_From_childhood_prodigy_to_serial_entrepreneur_-_Scott_Edgar,8,4,There is value in understanding how someone developed expertise so early in life.,BONUS__Mastermind_Q_A_apply_Productivity_Expert_Insights_to_Your_Life,62,2,There may be specific guidance available on how to implement proactivity.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|2_CFOs_Break_Down_the_Kolbe_ATM_Index|14|9|98c86c79bc92db66|0,business|2_CFOs_Break_Down_the_Kolbe_ATM_Index|14|9|98c86c79bc92db66,business,2_CFOs_Break_Down_the_Kolbe_ATM_Index,14,9,The listener sees the speaker as a credible source of insight into personality and behavior.,Spotlight_on_Herogard__Lessons_Learned_When_Launching_a_Second_Startup,18,1,"The speaker acknowledges the listener's hesitation with 'Yeah, yeah.'",2,9,0.95,"{
  ""entailment_score"": 9,
  ""confidence"": 0.95
}"
political|88539|1|3|fc1b8a3ea9b154b8|0,political|88539|1|3|fc1b8a3ea9b154b8,political,88539,1,3,"The speaker trusts the process of red flag laws to function as described, despite uncertainty.",48773,9,3,A colleague described the 2016 mental health bill as the most significant reform to mental health laws in 30 years.,2,3,0.7,"{
  ""entailment_score"": 3,
  ""confidence"": 0.7
}"
political|88539|1|3|fc1b8a3ea9b154b8|1,political|88539|1|3|fc1b8a3ea9b154b8,political,88539,1,3,"The speaker trusts the process of red flag laws to function as described, despite uncertainty.",48773,9,5,The speaker and a Democratic colleague from Connecticut co-led the effort to pass the 2016 mental health bill despite skepticism.,2,3,0.7,"{
  ""entailment_score"": 3,
  ""confidence"": 0.7
}"
business|12._How_We_Read_A_Book_Each_Week|38|3|2f590d165569c29a|0,business|12._How_We_Read_A_Book_Each_Week|38|3|2f590d165569c29a,business,12._How_We_Read_A_Book_Each_Week,38,3,Personal wish lists are inherently more private than publicly shared affiliate content.,Advice_from_our_Audience_-_Creative_Thinking,14,4,A person’s happiness and fulfillment are more important than fulfilling others’ expectations in education and career choices.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|12._How_We_Read_A_Book_Each_Week|38|3|2f590d165569c29a|1,business|12._How_We_Read_A_Book_Each_Week|38|3|2f590d165569c29a,business,12._How_We_Read_A_Book_Each_Week,38,3,Personal wish lists are inherently more private than publicly shared affiliate content.,Advice_from_our_Audience_-_Creative_Thinking,27,4,People are generally more afraid of others' opinions than others actually care about their actions.,2,3,0.7,"{
  ""entailment_score"": 3,
  ""confidence"": 0.7
}"
business|12._How_We_Read_A_Book_Each_Week|38|3|2f590d165569c29a|2,business|12._How_We_Read_A_Book_Each_Week|38|3|2f590d165569c29a,business,12._How_We_Read_A_Book_Each_Week,38,3,Personal wish lists are inherently more private than publicly shared affiliate content.,Advice_from_our_Audience_-_Creative_Thinking,35,4,Individuals should focus on their personal growth rather than others’ progress.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
religion|FB_s_war_against_women|22|1|aee5c1ed7b6f661f|0,religion|FB_s_war_against_women|22|1|aee5c1ed7b6f661f,religion,FB_s_war_against_women,22,1,Progress in civil rights discourse does not necessarily translate into widespread behavioral change.,Episode_28_-_Living_with_the_Unfixable,17,3,The listener’s identity does not have to be defined solely by their disappointment.,2,1,0.85,"{
  ""entailment_score"": 1,
  ""confidence"": 0.85
}"
religion|FB_s_war_against_women|22|1|aee5c1ed7b6f661f|1,religion|FB_s_war_against_women|22|1|aee5c1ed7b6f661f,religion,FB_s_war_against_women,22,1,Progress in civil rights discourse does not necessarily translate into widespread behavioral change.,Episode_28_-_Living_with_the_Unfixable,25,5,This current stage in history does not allow us to claim healing as a right.,2,5,0.8,"{
  ""entailment_score"": 5,
  ""confidence"": 0.8
}"
religion|FB_s_war_against_women|22|1|aee5c1ed7b6f661f|2,religion|FB_s_war_against_women|22|1|aee5c1ed7b6f661f,religion,FB_s_war_against_women,22,1,Progress in civil rights discourse does not necessarily translate into widespread behavioral change.,Episode_28_-_Living_with_the_Unfixable,43,7,Long-term presence of mental health problems does not imply they will last until death.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
religion|Ministry_of_the_Messiah__Studying_the_Sabbath|32|2|fd0002e07da4051b|0,religion|Ministry_of_the_Messiah__Studying_the_Sabbath|32|2|fd0002e07da4051b,religion,Ministry_of_the_Messiah__Studying_the_Sabbath,32,2,Recognition of Jesus requires conscious identification with His name or identity.,John_19_24-42,0,9,"Blood and water flowed from Jesus’ side when pierced, confirming his death and humanity.",2,3,0.7,"{
  ""entailment_score"": 3,
  ""confidence"": 0.7
}"
political|83968|26|0|aa0d1933afaa27f3|0,political|83968|26|0|aa0d1933afaa27f3,political,83968,26,0,The naming of infrastructure projects often reflects political or symbolic considerations rather than functional ones.,74135,25,9,Rhetoric in current politics often divides rather than unites people.,3,5,0.8,"{
  ""entailment_score"": 5,
  ""confidence"": 0.8
}"
political|83968|26|0|aa0d1933afaa27f3|1,political|83968|26|0|aa0d1933afaa27f3,political,83968,26,0,The naming of infrastructure projects often reflects political or symbolic considerations rather than functional ones.,74135,29,2,"The speaker believes the nation needs a leader focused on the public good rather than party loyalty, personal gain, or special interests.",2,9,0.95,"{
  ""entailment_score"": 9,
  ""confidence"": 0.95
}"
business|Episode_23_-_Cartier_Resources_Inc__Philippe_Cloutier|34|4|99ba7960fefa8cd1|0,business|Episode_23_-_Cartier_Resources_Inc__Philippe_Cloutier|34|4|99ba7960fefa8cd1,business,Episode_23_-_Cartier_Resources_Inc__Philippe_Cloutier,34,4,The company has control over the decision-making process regarding Ben Wal-Rillipur.,Earth_and_Environmental_Science_at_NYC_Urban_Soils_Institute__feat._Anna_Paltseva,1,3,Peoples' Friendship University of Russia has students from over 160 countries.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
business|Episode_23_-_Cartier_Resources_Inc__Philippe_Cloutier|34|4|99ba7960fefa8cd1|1,business|Episode_23_-_Cartier_Resources_Inc__Philippe_Cloutier|34|4|99ba7960fefa8cd1,business,Episode_23_-_Cartier_Resources_Inc__Philippe_Cloutier,34,4,The company has control over the decision-making process regarding Ben Wal-Rillipur.,Earth_and_Environmental_Science_at_NYC_Urban_Soils_Institute__feat._Anna_Paltseva,40,2,The speaker has personal experience with the job search process for international students.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
political|92298|9|6|3a881abe0bcbfd66|0,political|92298|9|6|3a881abe0bcbfd66,political,92298,9,6,The speaker trusts that prioritizing rural hospitals will lead to better public health outcomes overall.,82327,19,1,The speaker and Senator Chris Murphy collaborated on the mental health bill of 2016.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
political|92298|9|6|3a881abe0bcbfd66|1,political|92298|9|6|3a881abe0bcbfd66,political,92298,9,6,The speaker trusts that prioritizing rural hospitals will lead to better public health outcomes overall.,82327,28,2,The speaker poses a direct question to the senator regarding his own lessons about humanity based on decades of public service.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
political|46690|3|2|c7353a1ef3204d2d|0,political|46690|3|2|c7353a1ef3204d2d,political,46690,3,2,The speaker expects the president to reach out to members of both parties during times of political transition.,77667,2,1,The speaker wants to hear about the individual's journey from high school through college to political work and running for office.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
political|46690|3|2|c7353a1ef3204d2d|1,political|46690|3|2|c7353a1ef3204d2d,political,46690,3,2,The speaker expects the president to reach out to members of both parties during times of political transition.,77667,4,5,The speaker asks the individual to advise young people on political engagement.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
business|Ep25_-_Katie_Jones__How_to_keep_your_team_engaged_while_working_remotely|12|0|a6407a080f0dda01|0,business|Ep25_-_Katie_Jones__How_to_keep_your_team_engaged_while_working_remotely|12|0|a6407a080f0dda01,business,Ep25_-_Katie_Jones__How_to_keep_your_team_engaged_while_working_remotely,12,0,The listener has firsthand experience with engagement metrics.,Start_before_you_re_ready_with_Georgian_Bay_Spirits,36,5,The speaker believes the listener has a good product but needs support with the business side.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|Ep._36_-_The_COVID|69|3|3138a06203af0f84|0,business|Ep._36_-_The_COVID|69|3|3138a06203af0f84,business,Ep._36_-_The_COVID,69,3,The audience believes the speaker has some credibility despite self-deprecating disclaimer.,Can_You_Have_a_Performance_and_Caring_Company_Culture,0,3,"Michelle Falcon is an entrepreneur, author, keynote speaker, and has been featured on businessinsider.com.",2,9,0.95,"{
  ""entailment_score"": 9,
  ""confidence"": 0.95
}"
business|Ep._36_-_The_COVID|69|3|3138a06203af0f84|1,business|Ep._36_-_The_COVID|69|3|3138a06203af0f84,business,Ep._36_-_The_COVID,69,3,The audience believes the speaker has some credibility despite self-deprecating disclaimer.,Can_You_Have_a_Performance_and_Caring_Company_Culture,6,5,The speaker believes Reese asked the question about the compatibility of performance and caring cultures.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|Ep._36_-_The_COVID|69|3|3138a06203af0f84|2,business|Ep._36_-_The_COVID|69|3|3138a06203af0f84,business,Ep._36_-_The_COVID,69,3,The audience believes the speaker has some credibility despite self-deprecating disclaimer.,Can_You_Have_a_Performance_and_Caring_Company_Culture,7,2,The speaker believes that caring and performance can sometimes be competitive within organizational culture.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|Ep._36_-_The_COVID|69|3|3138a06203af0f84|3,business|Ep._36_-_The_COVID|69|3|3138a06203af0f84,business,Ep._36_-_The_COVID,69,3,The audience believes the speaker has some credibility despite self-deprecating disclaimer.,Can_You_Have_a_Performance_and_Caring_Company_Culture,12,8,The speaker believes they could personally accept being fired if they failed to meet expectations.,2,3,0.7,"{
  ""entailment_score"": 3,
  ""confidence"": 0.7
}"
business|Ep._36_-_The_COVID|69|3|3138a06203af0f84|4,business|Ep._36_-_The_COVID|69|3|3138a06203af0f84,business,Ep._36_-_The_COVID,69,3,The audience believes the speaker has some credibility despite self-deprecating disclaimer.,Can_You_Have_a_Performance_and_Caring_Company_Culture,28,2,The speaker has recently gained new knowledge about the listener's future actions.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|Ep._36_-_The_COVID|69|3|3138a06203af0f84|5,business|Ep._36_-_The_COVID|69|3|3138a06203af0f84,business,Ep._36_-_The_COVID,69,3,The audience believes the speaker has some credibility despite self-deprecating disclaimer.,Can_You_Have_a_Performance_and_Caring_Company_Culture,32,3,The speaker believes their next venture could adopt a similar model.,2,5,0.8,"{
  ""entailment_score"": 5,
  ""confidence"": 0.8
}"
business|Ep._36_-_The_COVID|69|3|3138a06203af0f84|6,business|Ep._36_-_The_COVID|69|3|3138a06203af0f84,business,Ep._36_-_The_COVID,69,3,The audience believes the speaker has some credibility despite self-deprecating disclaimer.,Can_You_Have_a_Performance_and_Caring_Company_Culture,36,2,The speaker believes that starting early provides structural advantages for implementation.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
religion|2020_06_28_Sermon|335|2|4948448b3ac4121b|0,religion|2020_06_28_Sermon|335|2|4948448b3ac4121b,religion,2020_06_28_Sermon,335,2,The speaker has authority or insight into the proper explanation of God's will.,Episode_37__Tessa-_Let_Happiness_Bloom,42,4,The speaker has personally experienced insights into their own past influencing their present.,3,5,0.8,"{
  ""entailment_score"": 5,
  ""confidence"": 0.8
}"
religion|2020_06_28_Sermon|335|2|4948448b3ac4121b|1,religion|2020_06_28_Sermon|335|2|4948448b3ac4121b,religion,2020_06_28_Sermon,335,2,The speaker has authority or insight into the proper explanation of God's will.,Episode_37__Tessa-_Let_Happiness_Bloom,0,8,Tessa has valuable insights into choosing happiness.,2,9,0.95,"{
  ""entailment_score"": 9,
  ""confidence"": 0.95
}"
religion|2020_06_28_Sermon|335|2|4948448b3ac4121b|2,religion|2020_06_28_Sermon|335|2|4948448b3ac4121b,religion,2020_06_28_Sermon,335,2,The speaker has authority or insight into the proper explanation of God's will.,Episode_37__Tessa-_Let_Happiness_Bloom,4,3,The speaker has a personal preference regarding emojis.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
religion|2020_06_28_Sermon|335|2|4948448b3ac4121b|3,religion|2020_06_28_Sermon|335|2|4948448b3ac4121b,religion,2020_06_28_Sermon,335,2,The speaker has authority or insight into the proper explanation of God's will.,Episode_37__Tessa-_Let_Happiness_Bloom,66,0,The speaker is asking if the listener has final thoughts or unaddressed topics they wish to discuss.,2,5,0.8,"{
  ""entailment_score"": 5,
  ""confidence"": 0.8
}"
business|Marie-Josee_Privyk_-_ESG_Advocate_and_Analyst|23|0|8d6ff44a252972cf|0,business|Marie-Josee_Privyk_-_ESG_Advocate_and_Analyst|23|0|8d6ff44a252972cf,business,Marie-Josee_Privyk_-_ESG_Advocate_and_Analyst,23,0,The credibility of sustainability claims depends on transparency and consistency over time.,Caroline_Heldman__Politics_and_Gender_in_the_Age_of_the_Pandemic,7,9,The increased flexibility of remote work may worsen existing gender inequalities in unpaid labor over time.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|Marie-Josee_Privyk_-_ESG_Advocate_and_Analyst|23|0|8d6ff44a252972cf|1,business|Marie-Josee_Privyk_-_ESG_Advocate_and_Analyst|23|0|8d6ff44a252972cf,business,Marie-Josee_Privyk_-_ESG_Advocate_and_Analyst,23,0,The credibility of sustainability claims depends on transparency and consistency over time.,Caroline_Heldman__Politics_and_Gender_in_the_Age_of_the_Pandemic,21,9,The speaker has not had time to read classics over the past ten years.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
business|226_-_The_Biology_and_Branding_of_Sharks|42|3|a77fd328c6577c30|0,business|226_-_The_Biology_and_Branding_of_Sharks|42|3|a77fd328c6577c30,business,226_-_The_Biology_and_Branding_of_Sharks,42,3,It is reasonable to infer that the speaker expects the listener to have relevant personal experience or observations.,Does_Your_Business_Need_a_Blog____Ep.__12,25,5,Blogging is a marketing tactic that can scale with the speaker’s personal and professional growth.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|Remy_Briand__The_ESG_evolution_at_MSCI__and_performance_amid_the_pandemic|0|0|d68e49e14f06f48c|0,business|Remy_Briand__The_ESG_evolution_at_MSCI__and_performance_amid_the_pandemic|0|0|d68e49e14f06f48c,business,Remy_Briand__The_ESG_evolution_at_MSCI__and_performance_amid_the_pandemic,0,0,Better financial returns from sustainable funds validate the legitimacy of ESG investing.,Making_use_of_short_term_business_resilience_opportunities_cashflow__feed_sell_agist__markets_and_season_with_Hamish_Dickson,5,2,"Historically, maintaining high production during tough times has led to better financial outcomes.",2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
business|Remy_Briand__The_ESG_evolution_at_MSCI__and_performance_amid_the_pandemic|0|0|d68e49e14f06f48c|1,business|Remy_Briand__The_ESG_evolution_at_MSCI__and_performance_amid_the_pandemic|0|0|d68e49e14f06f48c,business,Remy_Briand__The_ESG_evolution_at_MSCI__and_performance_amid_the_pandemic,0,0,Better financial returns from sustainable funds validate the legitimacy of ESG investing.,Making_use_of_short_term_business_resilience_opportunities_cashflow__feed_sell_agist__markets_and_season_with_Hamish_Dickson,13,8,The financial benefit of early sale versus finishing depends on comparing costs and returns accurately.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|Cloud_Creative_Collection_-_Write_Label_CEO_Gideon_Stein|0|4|27a43d74d51f4523|0,business|Cloud_Creative_Collection_-_Write_Label_CEO_Gideon_Stein|0|4|27a43d74d51f4523,business,Cloud_Creative_Collection_-_Write_Label_CEO_Gideon_Stein,0,4,There is trust in technology-driven solutions for scaling creative processes without sacrificing quality.,13__HSCMs_Michael_Millette_on_the_ILS_market__investment_opportunities_and_Covid-19_losses__Part_II,10,0,There exist public-private solutions related to pandemic risk.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
political|49018|3|4|3aaabaf8a377d11d|0,political|49018|3|4|3aaabaf8a377d11d,political,49018,3,4,Deep dives into specialized topics are more feasible and valuable in the Senate than in the House due to institutional structure.,76991,8,2,There is a growing need for more physicians due to population growth.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
political|49018|3|4|3aaabaf8a377d11d|1,political|49018|3|4|3aaabaf8a377d11d,political,49018,3,4,Deep dives into specialized topics are more feasible and valuable in the Senate than in the House due to institutional structure.,76991,17,0,There is nothing more important than ensuring physicians can practice in their preferred setting and style.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
political|77713|3|6|0622d1ca42c74f55|0,political|77713|3|6|0622d1ca42c74f55,political,77713,3,6,Accreditation standards are a foundational step toward improving law enforcement effectiveness.,72687,5,4,This development is one step among many toward improving agricultural pricing transparency.,3,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
business|GPTV_Carnegie_Report_Ep._39_-_Auctions___opens_are_back|25|3|0ab7985a5dbef5a5|0,business|GPTV_Carnegie_Report_Ep._39_-_Auctions___opens_are_back|25|3|0ab7985a5dbef5a5,business,GPTV_Carnegie_Report_Ep._39_-_Auctions___opens_are_back,25,3,Popularity among two-bedroom villas correlates with long-term value appreciation.,77_Green_Building_with_Tommy_Linstroth,7,6,Companies that optimize operations while benefiting the environment will achieve long-term success.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
business|GPTV_Carnegie_Report_Ep._39_-_Auctions___opens_are_back|25|3|0ab7985a5dbef5a5|1,business|GPTV_Carnegie_Report_Ep._39_-_Auctions___opens_are_back|25|3|0ab7985a5dbef5a5,business,GPTV_Carnegie_Report_Ep._39_-_Auctions___opens_are_back,25,3,Popularity among two-bedroom villas correlates with long-term value appreciation.,77_Green_Building_with_Tommy_Linstroth,11,8,Environmental claims require long-term integrity to remain credible.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|GPTV_Carnegie_Report_Ep._39_-_Auctions___opens_are_back|25|3|0ab7985a5dbef5a5|2,business|GPTV_Carnegie_Report_Ep._39_-_Auctions___opens_are_back|25|3|0ab7985a5dbef5a5,business,GPTV_Carnegie_Report_Ep._39_-_Auctions___opens_are_back,25,3,Popularity among two-bedroom villas correlates with long-term value appreciation.,77_Green_Building_with_Tommy_Linstroth,16,0,Commissioning benefits everyone in the long term.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|GPTV_Carnegie_Report_Ep._39_-_Auctions___opens_are_back|25|3|0ab7985a5dbef5a5|3,business|GPTV_Carnegie_Report_Ep._39_-_Auctions___opens_are_back|25|3|0ab7985a5dbef5a5,business,GPTV_Carnegie_Report_Ep._39_-_Auctions___opens_are_back,25,3,Popularity among two-bedroom villas correlates with long-term value appreciation.,77_Green_Building_with_Tommy_Linstroth,16,3,Commissioning provides long-term legal benefits for all parties involved.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
sports|Episode_006__Hassan_Azad|9|4|37c3e8bcf9cb447d|0,sports|Episode_006__Hassan_Azad|9|4|37c3e8bcf9cb447d,sports,Episode_006__Hassan_Azad,9,4,Competing against more experienced players accelerates skill acquisition and maturity.,Catchup_With_Derek_Ure_-_East_Stirlingshire,15,5,"In the past, players have experienced similar feelings of drawing after strong performance.",2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
political|75286|25|4|f88d5528d9fc9758|0,political|75286|25|4|f88d5528d9fc9758,political,75286,25,4,The speaker values personal involvement in official processes like confirmations.,71775,23,2,"The current speaker takes no personal credit for creating Jobs, Ohio.",2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
commentary|Aeternam___Al_Qassam___2020__Review_2|20|2|92721cf0a9f81725|0,commentary|Aeternam___Al_Qassam___2020__Review_2|20|2|92721cf0a9f81725,commentary,Aeternam___Al_Qassam___2020__Review_2,20,2,The speaker believes the listener will respond meaningfully to questions about song preference.,Episode_101_will_politicians_let_COVID-19_kill_the_arts_2,20,5,The speaker questions whether choirs will ever be able to perform together again.,3,1,0.85,"{
  ""entailment_score"": 1,
  ""confidence"": 0.85
}"
commentary|Aeternam___Al_Qassam___2020__Review_2|20|2|92721cf0a9f81725|1,commentary|Aeternam___Al_Qassam___2020__Review_2|20|2|92721cf0a9f81725,commentary,Aeternam___Al_Qassam___2020__Review_2,20,2,The speaker believes the listener will respond meaningfully to questions about song preference.,Episode_101_will_politicians_let_COVID-19_kill_the_arts_2,1,3,The speaker believes that nothing new has occurred recently.,2,3,0.7,"{
  ""entailment_score"": 3,
  ""confidence"": 0.7
}"
commentary|Aeternam___Al_Qassam___2020__Review_2|20|2|92721cf0a9f81725|2,commentary|Aeternam___Al_Qassam___2020__Review_2|20|2|92721cf0a9f81725,commentary,Aeternam___Al_Qassam___2020__Review_2,20,2,The speaker believes the listener will respond meaningfully to questions about song preference.,Episode_101_will_politicians_let_COVID-19_kill_the_arts_2,3,4,The speaker has not yet received any information about school reopening.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
